neighbourhood_cleansed,latitude,longitude,property_type,room_type,price,number_of_reviews,review_scores_rating
East Boston,42.36413,-71.02991,Entire rental unit,Entire home/apt,125,21,4.95
Roxbury,42.32844,-71.09581,Entire guest suite,Entire home/apt,124,109,4.78
Roxbury,42.32802,-71.09387,Entire condominium (condo),Entire home/apt,164,116,4.8
Beacon Hill,42.35867,-71.06307,Entire rental unit,Entire home/apt,110,25,4.64
Downtown,42.35906,-71.06271,Entire rental unit,Entire home/apt,100,32,4.78
Back Bay,42.35061,-71.08787,Entire rental unit,Entire home/apt,116,5,5
North End,42.36377,-71.05206,Entire condominium (condo),Entire home/apt,106,2,0
Back Bay,42.35164,-71.08752,Entire home/apt,Entire home/apt,75,0,
Beacon Hill,42.35956,-71.0698,Private room in rental unit,Private room,50,0,
Dorchester,42.32212,-71.06096,Entire rental unit,Entire home/apt,111,52,4.3
South End,42.34487,-71.07441,Private room in residential home,Private room,148,315,4.47
Charlestown,42.37754,-71.06642,Entire rental unit,Entire home/apt,230,97,4.96
Jamaica Plain,42.31347,-71.11082,Private room in residential home,Private room,100,83,4.98
Charlestown,42.37424,-71.06081,Entire rental unit,Entire home/apt,125,131,4.63
Dorchester,42.29871,-71.05954,Private room in residential home,Private room,55,331,4.45
Roxbury,42.32546,-71.08894,Private room in rental unit,Private room,80,142,4.73
Downtown,42.35689,-71.06206,Entire condominium (condo),Entire home/apt,90,46,4.83
Roxbury,42.32546,-71.08894,Entire rental unit,Entire home/apt,100,120,4.75
Charlestown,42.37865,-71.06373,Private room in rental unit,Private room,140,57,4.29
Dorchester,42.29871,-71.05954,Private room in residential home,Private room,300,282,4.41
Roxbury,42.32806,-71.09423,Entire condominium (condo),Entire home/apt,218,233,4.66
Dorchester,42.29871,-71.05954,Private room in residential home,Private room,65,93,4.38
Dorchester,42.29871,-71.05954,Private room in residential home,Private room,65,47,4.41
Charlestown,42.37739,-71.06199,Entire rental unit,Entire home/apt,199,108,4.79
Dorchester,42.30953,-71.0706,Entire guest suite,Entire home/apt,49,73,4.54
Jamaica Plain,42.31331,-71.12061,Private room in rental unit,Private room,60,50,4.96
Jamaica Plain,42.31533,-71.11025,Entire rental unit,Entire home/apt,140,412,4.86
Dorchester,42.29871,-71.05954,Private room in residential home,Private room,60,204,4.47
Jamaica Plain,42.31685,-71.10867,Entire residential home,Entire home/apt,102,219,4.87
North End,42.36614,-71.05226,Private room in townhouse,Private room,151,258,4.91
South Boston,42.33255,-71.04125,Entire rental unit,Entire home/apt,243,370,4.86
Dorchester,42.29871,-71.05954,Entire townhouse,Entire home/apt,165,114,4.36
Dorchester,42.30066,-71.08207,Private room in rental unit,Private room,60,24,4.39
Jamaica Plain,42.31658,-71.11012,Private room in residential home,Private room,71,331,4.81
Jamaica Plain,42.31062,-71.1176,Private room in residential home,Private room,173,16,4.93
Bay Village,42.34914,-71.06781,Entire rental unit,Entire home/apt,65,9,5
South End,42.34491,-71.07368,Private room in residential home,Private room,148,175,4.49
Dorchester,42.31368,-71.0612,Entire residential home,Entire home/apt,179,67,4.4
Dorchester,42.32212,-71.06096,Entire rental unit,Entire home/apt,101,57,4.56
Dorchester,42.31371,-71.06126,Entire rental unit,Entire home/apt,101,62,4.26
Jamaica Plain,42.3036,-71.10539,Private room in residential home,Private room,121,288,4.86
Dorchester,42.28834,-71.05505,Private room in townhouse,Private room,175,94,4.85
Brighton,42.34096,-71.14647,Entire rental unit,Entire home/apt,149,12,5
West Roxbury,42.29192,-71.15407,Entire rental unit,Entire home/apt,103,39,4.56
Charlestown,42.37579,-71.04981,Boat,Entire home/apt,269,51,4.73
Charlestown,42.37828,-71.06411,Entire residential home,Entire home/apt,175,168,4.78
South Boston,42.33451,-71.04983,Private room in townhouse,Private room,190,7,5
Charlestown,42.37926,-71.06364,Entire rental unit,Entire home/apt,200,374,4.9
Jamaica Plain,42.30702,-71.11283,Entire residential home,Entire home/apt,571,70,4.84
Roslindale,42.29239,-71.13193,Private room in rental unit,Private room,25,5,4.8
Jamaica Plain,42.30733,-71.11129,Private room in rental unit,Private room,70,211,4.86
Roslindale,42.28573,-71.12334,Private room in condominium (condo),Private room,55,142,4.82
North End,42.3657,-71.05618,Entire condominium (condo),Entire home/apt,240,531,4.36
Roxbury,42.32795,-71.09412,Entire condominium (condo),Entire home/apt,177,57,4.85
North End,42.36695,-71.05601,Entire condominium (condo),Entire home/apt,217,627,4.62
Downtown,42.3558,-71.06104,Entire loft,Entire home/apt,425,78,4.96
Dorchester,42.29962,-71.08212,Private room in rental unit,Private room,79,7,3.29
Dorchester,42.29961,-71.07781,Private room in rental unit,Private room,61,26,4.48
South End,42.3451,-71.0715,Entire condominium (condo),Entire home/apt,425,12,5
North End,42.3665,-71.05296,Entire rental unit,Entire home/apt,125,474,4.68
Roslindale,42.29017,-71.13169,Private room in bed and breakfast,Private room,90,62,4.85
North End,42.36541,-71.05404,Entire condominium (condo),Entire home/apt,233,619,4.43
Downtown,42.35888,-71.06032,Entire rental unit,Entire home/apt,257,60,4.76
South End,42.34308,-71.07316,Entire rental unit,Entire home/apt,216,60,4.88
South End,42.34575,-71.07285,Private room in residential home,Private room,136,257,4.51
East Boston,42.38497,-71.01827,Entire residential home,Entire home/apt,174,87,4.68
Downtown,42.36194,-71.06256,Entire rental unit,Entire home/apt,160,8,4.25
Jamaica Plain,42.31653,-71.11049,Entire rental unit,Entire home/apt,94,327,4.82
South End,42.34022,-71.075,Entire rental unit,Entire home/apt,176,0,
Mission Hill,42.33287,-71.10191,Entire rental unit,Entire home/apt,125,32,4.67
Jamaica Plain,42.32031,-71.1129,Entire rental unit,Entire home/apt,448,79,4.73
Dorchester,42.30347,-71.06409,Private room in residential home,Private room,38,194,4.46
Roslindale,42.2941,-71.13141,Private room in condominium (condo),Private room,26,8,4.13
